test_group,split_1,split_2,k,p,a1,E,var,z,s,effect_size
D2,split_10,split_10,100,1.223968076974792e-140,14,261.86788154897494,103.89797643406692,-24.31737602600347,1.0,0.9465379262352123
D2,split_10,split_30,100,3.090249688554601e-274,17,514.8095698405026,255.94009059460365,-31.11673931508549,0.9995171414775471,0.966978080836246
D2,split_10,split_50,100,0.0,20,634.6116402116402,283.86680003663724,-36.47904667005749,1.0,0.9684846625357674
D2,split_30,split_10,100,4.756925438302918e-214,14,319.6755070202808,63.61083626703299,-38.326140617521176,0.9996881821016527,0.95620559069259
D2,split_30,split_30,100,0.0,15,800.3816620358676,323.38156343758504,-43.67401596077817,1.0,0.9812589409384447
D2,split_30,split_50,100,0.0,28,1131.6510692356553,542.0472321258065,-47.40380716969301,0.9997883597883598,0.9752573909386116
D2,split_50,split_10,100,1.5211915545898096e-239,20,334.7232544494426,43.7115765270111,-47.602591703729026,1.0,0.940249146917216
D2,split_50,split_30,100,0.0,21,901.9759590792839,277.2159832160719,-52.912090930625034,0.9998295551389126,0.9767177830089437
D2,split_50,split_50,100,0.0,40,1346.4050671090333,546.5259314134173,-55.88206802889229,1.0,0.9702912585690969
D9,split_10,split_10,100,6.577847429619297e-94,2,162.68702290076337,80.56471790938052,-17.902280565080925,0.9984779299847792,0.9877064564564565
D9,split_10,split_30,100,1.0694134342811406e-150,3,234.6068133427963,77.90440661481006,-26.240392037405247,1.0,0.987212647590006
D9,split_10,split_50,100,5.49205828809474e-181,3,256.54348826507135,60.3943048207699,-32.625296539516114,0.9995402298850574,0.9883060762123096
D9,split_30,split_10,100,2.762478348596561e-166,0,259.5804195804196,104.47068297271012,-25.396549376470325,1.0,1.0
D9,split_30,split_30,100,4.1384403792303135e-300,2,506.0990681706719,250.9869099018672,-31.81928077058368,0.9995100440960314,0.9960482045398165
D9,split_30,split_50,100,0.0,2,621.3133689839573,274.99749490489546,-37.346171421148,1.0,0.996781012449047
D9,split_50,split_10,100,1.6295708842248875e-195,2,292.01472908995265,89.50035521473248,-30.65544858909063,0.999474513925381,0.9931510304078397
D9,split_50,split_30,100,0.0,1,646.8395480225988,314.9299369303109,-36.392983658802564,1.0,0.9984540215528611
D9,split_50,split_50,100,0.0,2,846.9950277859023,419.4050816893506,-41.2607681832579,0.9997076878105817,0.9976387110497825
D8.5,split_10,split_10,100,1.995290529800084e-107,0,177.71509167842032,88.83999637508039,-18.854718111927664,0.9985935302390999,1.0
D8.5,split_10,split_30,100,7.024280426209399e-173,1,267.0287081339713,97.24476695354367,-26.977107685685908,1.0,0.9962550843053988
D8.5,split_10,split_50,100,6.094746294894187e-211,0,295.1504265828469,78.03921248130663,-33.41080780953836,0.9995513683266039,1.0
D8.5,split_30,split_10,100,5.0041055646534847e-175,0,268.79322512350035,101.739935897059,-26.648488958571825,1.0,1.0
D8.5,split_30,split_30,100,5e-324,1,542.3886583679115,271.0134453786572,-32.88620310987919,0.9995393827729157,0.9981563036310364
D8.5,split_30,split_50,100,0.0,0,676.9758091993185,312.04859899889044,-38.32322345957698,1.0,1.0
D8.5,split_50,split_10,100,1.979728395260023e-211,0,299.8043782021425,83.52714294729246,-32.80380015847261,0.9995346672871103,1.0
D8.5,split_50,split_30,100,0.0,1,686.3691830403309,324.53693428382957,-38.04455496863711,1.0,0.9985430581315285
D8.5,split_50,split_50,100,0.0,0,916.1975443383357,457.8224093405723,-42.81940222951168,0.9997272975184074,1.0
D15,split_10,split_10,100,2.7051737841661666e-115,0,190.61598951507207,94.99037968277267,-19.557778179291056,1.0,1.0
D15,split_10,split_30,100,1.668784297842918e-183,3,296.0653465346535,115.47736162875054,-27.27194058152895,0.999340804218853,0.9898671018573636
D15,split_10,split_50,100,2.40169354683298e-226,2,332.62253397632617,96.8013405659113,-33.60406098813614,1.0,0.9939871782705427
D15,split_30,split_10,100,1.8397817515978086e-178,2,277.3128598848368,98.17438744089984,-27.78608741761512,1.0,0.9927879291251385
D15,split_30,split_30,100,0.0,3,578.3753779697624,288.75028315062326,-33.86024247641264,0.9995684074233924,0.9948130572042491
D15,split_30,split_50,100,0.0,4,733.8889970788705,349.37263464524295,-39.04922098676301,1.0,0.9945495844522518
D15,split_50,split_10,100,4.177824588103186e-214,2,305.35306553911204,78.65860479779445,-34.20387169420275,1.0,0.9934502049407333
D15,split_50,split_30,100,0.0,3,715.9335899903754,328.6324055772177,-39.3272776341238,0.9996793844180827,0.9958096672066464
D15,split_50,split_50,100,0.0,2,970.1952098892609,484.57023967131033,-43.982970850598505,1.0,0.9979385591893117
D10.5,split_10,split_10,100,1.372004062688682e-84,0,137.55593803786576,64.8845601085986,-17.076885264456052,0.9982847341337907,1.0
D10.5,split_10,split_30,100,1.047535773785421e-128,1,185.91685393258427,51.58163499213397,-25.74713700825656,1.0,0.9946212514957755
D10.5,split_10,split_50,100,1.8425857056179985e-154,0,198.62601238685087,37.437927309789785,-32.46237014864416,0.9995240361732508,1.0
D10.5,split_30,split_10,100,2.931147557950294e-134,2,226.34953464322646,105.71556953069835,-21.820047723252618,0.9989680082559339,0.9911641081871345
D10.5,split_30,split_30,100,1.3560041605992915e-240,1,393.8506682161534,180.01686816299522,-29.279988060027403,1.0,0.9974609666030801
D10.5,split_30,split_50,100,4.036159733161499e-295,2,459.4865191146881,169.68858214177848,-35.1197964947006,0.9995979091274628,0.9956473151729163
D10.5,split_50,split_10,100,3.005814577480743e-164,2,263.0457614403601,103.57629879834481,-25.649945820565694,0.9992509363295881,0.9923967602099019
D10.5,split_50,split_30,100,7.657632450262e-311,1,519.9688548155247,258.84665815189703,-32.25670584891417,1.0,0.9980768078881287
D10.5,split_50,split_50,100,0.0,2,641.5896176780077,288.5192333411963,-37.654251634695115,0.9996494917630564,0.9968827425742358
