k; n_obs; n_var; t_NN [s]; t_matching [s]
100; 500; 2; 15.976415; 0.301221
100; 500; 100; 0.084271; -1
100; 500; 1000; 0.100008; -1
100; 500; 2000; 0.116772; -1
100; 500; 5000; 0.156959; -1
100; 1000; 2; 0.149430; 0.384983
100; 1000; 100; 0.153989; -1
100; 1000; 1000; 0.188046; -1
100; 1000; 2000; 0.224068; -1
100; 1000; 5000; 0.323488; -1
100; 5000; 2; 29.993432; 2.589613
100; 5000; 100; 4.854133; -1
100; 5000; 1000; 6.607101; -1
100; 5000; 2000; 8.157984; -1
100; 5000; 5000; 10.799695; -1
100; 10000; 2; 14.242171; 18.414162
100; 10000; 100; 7.793521; -1
100; 10000; 1000; 10.974424; -1
100; 10000; 2000; 13.868424; -1
100; 10000; 5000; 19.453700; -1
100; 20000; 2; 22.647069; 111.673157
100; 20000; 100; 13.360247; -1
100; 20000; 1000; 18.741881; -1
100; 20000; 2000; 24.354073; -1
100; 20000; 5000; 35.927837; -1
100; 50000; 2; 50.028306; 1146.015396
100; 50000; 100; 29.238590; -1
100; 50000; 1000; 43.542005; -1
100; 50000; 2000; 56.207282; -1
100; 50000; 5000; 91.194915; -1
100; 100000; 2; 96.446669; 5430.543910
100; 100000; 100; 58.508471; -1
100; 100000; 1000; 88.335812; -1
100; 100000; 2000; 113.515790; -1
100; 100000; 5000; 173.877326; -1
