test_group,reference,k,p,z,s,n,m
6,6,100,0.999999999999994,0.1249991588693853,0.9948979591836735,388,4
6,6,100,0.652878996672599,0.08279336063949078,0.9948979591836735,351,41
6,6,100,0.6864972571753127,0.2720726214517745,0.9948979591836735,320,72
6,6,100,0.4195321943901754,-0.35880723475430865,0.9948979591836735,263,129
6,6,100,0.7848598213427659,0.6371193066228503,0.9948979591836735,240,152
6,6,100,0.8927354041779745,1.0940537579257459,0.9948979591836735,209,183
24,24,100,0.12744277822446062,-2.3862800499923007,1.0,1694,22
24,24,100,0.41919207054852287,-0.3573344935139933,1.0,1549,167
24,24,100,0.7132158573593281,0.4593304376141744,1.0,1400,316
24,24,100,0.9599916529548334,1.6594472655837011,1.0,1194,522
24,24,100,0.8243830128379599,0.8612947161619442,1.0,1010,706
24,24,100,0.18100946034716817,-0.9794084918509819,1.0,898,818
